mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_bw
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       3.24
2                       8.19
4                      11.42
8                      32.32
16                     64.34
32                    128.23
64                    241.25
128                   329.19
256                   669.95
512                  1478.89
1024                 2692.71
2048                 4224.96
4096                 4292.97
8192                 5283.97
16384                5196.42
32768                5750.61
65536                5799.75
131072               6057.23
262144               6328.04
524288               6355.55
1048576              6365.37
2097152              6375.89
4194304              6377.28
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_latency
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       2.15
1                       1.94
2                       1.96
4                       1.90
8                       2.26
16                      1.95
32                      1.96
64                      2.08
128                     2.82
256                     2.87
512                     3.04
1024                    3.41
2048                    3.96
4096                    4.60
8192                    5.90
16384                   7.64
32768                  10.64
65536                  16.16
131072                 26.53
262144                 49.27
524288                 90.04
1048576               172.36
2097152               338.16
4194304               667.64
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_latency_mp
# OSU MPI Multi-process Latency Test v5.6.3
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2
# Size          Latency (us)
0                       2.01
1                       1.91
2                       1.97
4                       1.92
8                       1.94
16                      1.97
32                      1.96
64                      2.07
128                     2.75
256                     2.85
512                     3.02
1024                    3.32
2048                    3.94
4096                    4.60
8192                    5.88
16384                   7.64
32768                  10.45
65536                  16.19
131072                 26.47
262144                 48.88
524288                 89.98
1048576               172.18
2097152               338.58
4194304               667.75
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_mbw_mr
# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.3
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       3.70        3697718.45
2                       7.88        3942250.95
4                      15.98        3994258.25
8                      27.02        3377574.28
16                     65.39        4086952.47
32                    110.83        3463300.92
64                    243.71        3807939.43
128                   409.44        3198717.31
256                   704.82        2753185.52
512                  1362.07        2660297.47
1024                 2776.90        2711811.55
2048                 4128.37        2015805.17
4096                 4785.17        1168253.94
8192                 5631.83         687479.76
16384                5242.00         319946.17
32768                5865.88         179012.51
65536                5928.89          90467.66
131072               6062.67          46254.52
262144               6339.76          24184.26
524288               6364.66          12139.63
1048576              6375.01           6079.69
2097152              6375.45           3040.05
4194304              6375.37           1520.01
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/pt2pt/osu_multi_lat
# OSU MPI Multi Latency Test v5.6.3
# Size          Latency (us)
0                       2.15
1                       2.16
2                       1.97
4                       1.91
8                       1.93
16                      1.95
32                      1.95
64                      2.06
128                     2.76
256                     2.85
512                     3.01
1024                    3.35
2048                    3.89
4096                    4.60
8192                    5.87
16384                   7.68
32768                  10.64
65536                  15.84
131072                 27.87
262144                 49.51
524288                 90.40
1048576               173.72
2097152               338.74
4194304               669.84
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/startup/osu_hello
# OSU MPI Hello World Test v5.6.3
This is a test with 2 processes
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/startup/osu_init
# OSU MPI Init Test v5.6.3
nprocs: 2, min: 244 ms, max: 245 ms, avg: 244 ms
Successfully processed 34 benchmarks.
