,rank,mesh,ranks,omp_threads,ranks_per_node,timesteps,dt,max_iters,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,kern_0,kern_1,kern_2,SchurInv_kern
6,6,256,42,1,42,100,5e-06,100,2.0597608089447017,327.75,12.360151052474976,355.6875,58.65052008628845,368.625,73.07043194770812,0.0009577069431543349,0.002396184019744396,1.3459939509630205e-06,34.27447197213769
7,7,256,42,1,42,100,5e-06,100,1.472646713256836,327.625,12.359002351760864,355.875,58.65071845054626,368.875,72.48236751556395,0.0009666339028626679,0.002386065199971199,1.3378448784351349e-06,34.230833939742304
8,8,256,42,1,42,100,5e-06,100,1.9404170513153076,327.0625,12.35983943939209,355.0625,58.6504864692688,367.1875,72.95074295997621,0.0009582398924976588,0.002395716030150652,1.5569385141134262e-06,34.28017504350282
9,9,256,42,1,42,100,5e-06,100,1.7198903560638428,327.6875,12.361016035079956,355.4375,58.64628505706787,367.25,72.72719144821167,0.000997727969661355,0.0023540440015494823,1.4510005712509157e-06,34.19622633908875
10,10,256,42,1,42,100,5e-06,100,1.042768478393555,327.25,12.352996587753296,354.9375,58.62474346160889,367.0625,72.02050852775574,0.0029323538765311237,0.00041222595609724516,2.5660265237092968e-06,34.266135200159624
11,11,256,42,1,42,100,5e-06,100,2.149705171585083,327.375,12.359451055526733,355.5625,58.64856767654419,368.1875,73.15772390365599,0.0009649530984461306,0.0023870798759162426,1.2582167983055115e-06,34.43342170654796
12,12,256,42,1,42,100,5e-06,100,1.637007474899292,327.0,12.355140924453735,355.1875,58.65050268173218,368.4375,72.6426510810852,0.0009485839400440453,0.0024038110859692092,1.1699739843606949e-06,34.28420563810505
13,13,256,42,1,42,100,5e-06,100,1.3742167949676514,327.625,12.360522747039795,356.0625,58.64953875541687,367.875,72.38427829742432,0.0009467659983783961,0.0024073238018900156,1.3201497495174408e-06,34.445373237598695
14,14,256,42,1,42,100,5e-06,100,1.325988531112671,329.5625,12.361104011535645,356.25,58.65036869049072,368.0625,72.33746123313905,0.0009330238681286572,0.002418836811557412,1.3399403542280195e-06,34.406560578383505
15,15,256,42,1,42,100,5e-06,100,1.4867045879364014,327.5,12.359407901763914,355.75,58.63022327423096,365.875,72.47633576393126,0.0010767080821096897,0.0022765470203012232,1.6989652067422869e-06,34.339734851848334
16,16,256,42,1,42,100,5e-06,100,1.44991135597229,327.1875,12.3607017993927,357.0,58.631001472473145,367.75,72.44161462783812,0.0009919560980051756,0.0023616692051291466,1.3189855962991714e-06,34.3842429346405
17,17,256,42,1,42,100,5e-06,100,1.2980189323425293,327.375,12.360183238983154,355.875,58.65122628211975,368.375,72.30942845344543,0.0009514400735497477,0.002401967998594045,1.3171229511499405e-06,34.222912560915574
18,18,256,42,1,42,100,5e-06,100,1.279783010482788,326.875,12.3553466796875,355.5,58.646400451660156,366.625,72.28153014183043,0.0009538091253489256,0.0023996050003916025,1.5690457075834274e-06,34.239111718023196
19,19,256,42,1,42,100,5e-06,100,1.5494351387023926,327.1875,12.358448266983032,355.6875,58.64635062217712,366.625,72.55423402786255,0.0009722691029310226,0.00237992312759161,1.1390075087547302e-06,34.300661684479564
20,20,256,42,1,42,100,5e-06,100,1.0566751956939695,327.8125,12.360820531845093,355.9375,58.6507682800293,366.4375,72.06826400756836,0.0009682669769972565,0.0023838239721953873,1.4470424503087997e-06,34.1816188225057
21,21,256,42,1,42,100,5e-06,100,1.2845230102539062,327.75,12.360573768615724,356.125,58.6516945362091,366.8125,72.29679131507874,0.00097929616458714,0.002374245086684823,1.3150274753570557e-06,34.365360286086805
22,22,256,42,1,42,100,5e-06,100,1.7860667705535889,327.4375,12.359133005142212,356.0625,58.62986350059509,366.0625,72.77506327629091,0.0009728199802339076,0.002379792975261807,1.51083804666996e-06,34.34986545541324
23,23,256,42,1,42,100,5e-06,100,1.6267149448394775,327.4375,12.357116937637329,356.375,58.64629888534546,367.75,72.63013076782227,0.0010220441035926342,0.002328790025785566,1.8691644072532658e-06,34.399533063406125
24,24,256,42,1,42,100,5e-06,100,1.1283910274505615,327.5625,12.361241340637207,355.9375,58.64635801315307,368.0625,72.13599038124084,0.000985210994258523,0.0023671770468354225,1.2889504432678223e-06,34.39095245394856
25,25,256,42,1,42,100,5e-06,100,1.8600268363952637,327.5625,12.361092567443848,355.1875,58.65041851997375,367.0,72.87153792381288,0.0010554238688200712,0.002296274993568659,1.3480894267559052e-06,34.194741509621956
26,26,256,42,1,42,100,5e-06,100,1.2595925331115725,327.625,12.360313177108765,355.25,58.65143346786499,367.1875,72.27133917808533,0.00093790702521801,0.002415586961433291,1.3459939509630205e-06,34.076488260179765
27,27,256,42,1,42,100,5e-06,100,1.1940112113952637,327.5,12.358613729476929,356.375,58.610148429870605,367.4375,72.1627733707428,0.0009935400448739526,0.002358628204092383,1.9299332052469258e-06,34.192268142243854
28,28,256,42,1,42,100,5e-06,100,1.3938720226287842,327.8125,12.358628749847412,356.8125,58.65182685852051,370.3125,72.4043276309967,0.0009890429209917784,0.0023643469903618093,1.416075974702835e-06,34.396793253021315
